Ax,Ay,Az,Gx,Gy,Gz,Label
-0.005,0.026,1.017,0.551,-2.284,1.26,IDLE
-0.005,0.026,1.017,0.534,-2.301,1.26,IDLE
-0.005,0.025,1.018,0.56,-2.319,1.286,IDLE
-0.005,0.026,1.018,0.543,-2.319,1.26,IDLE
-0.004,0.026,1.017,0.534,-2.362,1.286,IDLE
-0.005,0.026,1.018,0.464,-2.328,1.251,IDLE
-0.006,0.026,1.017,0.525,-2.328,1.242,IDLE
-0.005,0.026,1.019,0.56,-2.319,1.295,IDLE
-0.004,0.026,1.018,0.551,-2.301,1.26,IDLE
-0.004,0.026,1.019,0.516,-2.301,1.216,IDLE
-0.004,0.026,1.018,0.551,-2.301,1.225,IDLE
-0.005,0.025,1.018,0.586,-2.319,1.225,IDLE
-0.005,0.026,1.017,0.543,-2.293,1.207,IDLE
-0.005,0.026,1.019,0.525,-2.31,1.295,IDLE
-0.005,0.025,1.016,0.516,-2.389,1.278,IDLE
-0.005,0.025,1.018,0.56,-2.319,1.251,IDLE
-0.004,0.026,1.018,0.534,-2.31,1.26,IDLE
-0.005,0.025,1.016,0.56,-2.301,1.269,IDLE
-0.005,0.026,1.018,0.534,-2.336,1.242,IDLE
-0.005,0.026,1.017,0.525,-2.319,1.251,IDLE
-0.004,0.026,1.018,0.551,-2.319,1.295,IDLE
-0.005,0.025,1.018,0.525,-2.31,1.278,IDLE
-0.004,0.025,1.017,0.525,-2.31,1.269,IDLE
-0.005,0.026,1.017,0.49,-2.284,1.26,IDLE
-0.004,0.025,1.019,0.534,-2.301,1.234,IDLE
-0.005,0.025,1.018,0.525,-2.336,1.286,IDLE
-0.005,0.026,1.017,0.543,-2.301,1.234,IDLE
-0.004,0.026,1.018,0.543,-2.371,1.225,IDLE
-0.005,0.025,1.017,0.499,-2.354,1.242,IDLE
-0.005,0.027,1.017,0.516,-2.31,1.295,IDLE
-0.003,0.026,1.018,0.551,-2.31,1.251,IDLE
-0.005,0.027,1.017,0.534,-2.345,1.225,IDLE
-0.004,0.026,1.018,0.551,-2.336,1.251,IDLE
-0.005,0.025,1.017,0.525,-2.336,1.242,IDLE
-0.004,0.026,1.018,0.551,-2.31,1.225,IDLE
-0.005,0.025,1.016,0.49,-2.319,1.26,IDLE
-0.004,0.025,1.016,0.455,-2.362,1.216,IDLE
-0.008,0.026,1.027,0.534,-2.345,1.242,IDLE
-0.004,0.029,1.014,0.254,-2.398,1.242,IDLE
-0.004,0.026,1.021,0.157,-2.441,1.269,IDLE
-0.002,0.025,1.007,0.192,-2.328,1.234,IDLE
-0.009,0.022,1.023,0.56,-2.31,1.295,IDLE
-0.006,0.024,1.014,0.551,-2.336,1.269,IDLE
-0.002,0.026,1.019,0.543,-2.31,1.207,IDLE
-0.003,0.026,1.018,0.481,-2.31,1.242,IDLE
-0.004,0.026,1.017,0.446,-2.328,1.295,IDLE
-0.004,0.024,1.017,0.525,-2.345,1.33,IDLE
-0.005,0.025,1.019,0.569,-2.319,1.304,IDLE
-0.003,0.024,1.017,0.525,-2.284,1.269,IDLE
-0.005,0.024,1.019,0.56,-2.293,1.269,IDLE
-0.006,0.024,1.016,0.569,-2.319,1.234,IDLE
-0.004,0.025,1.018,0.543,-2.328,1.242,IDLE
-0.004,0.025,1.019,0.525,-2.336,1.242,IDLE
-0.005,0.025,1.017,0.525,-2.328,1.26,IDLE
